"ccode","year","genocide","Mgenocide"
95,1958,0,1
95,1959,0,1
95,1960,0,1
95,1961,0,1
95,1962,0,1
95,1963,0,1
95,1964,0,1
95,1965,0,1
95,1966,0,1
95,1967,0,1
95,1968,0,1
95,1969,0,1
95,1970,0,1
95,1971,0,1
95,1972,0,1
95,1973,0,1
95,1974,0,1
95,1975,0,1
95,1976,0,1
95,1977,0,1
95,1978,0,1
95,1979,0,1
95,1980,0,1
95,1981,0,1
95,1982,0,1
95,1983,0,1
95,1984,0,1
95,1985,0,1
95,1986,0,1
95,1987,0,1
95,1988,0,1
95,1989,0,1
95,1990,0,1
95,1991,0,1
95,1992,0,1
95,1993,0,1
95,1994,0,1
95,1995,0,1
95,1996,0,1
95,1997,0,1
95,1998,0,1
95,1999,0,1
95,2000,0,1
95,2001,0,1
95,2002,0,1
95,2003,0,1
95,2004,0,1
95,2005,0,1
95,2006,0,1
95,2007,0,1
95,2008,0,1
95,2009,0,1
95,2010,0,1
100,1956,0,1
100,1957,0,1
100,1958,0,1
100,1959,0,1
100,1960,0,1
100,1961,0,1
100,1962,0,1
100,1963,0,1
100,1964,0,1
100,1965,0,1
100,1966,0,1
100,1967,0,1
100,1968,0,1
100,1969,0,1
100,1970,0,1
100,1971,0,1
100,1972,0,1
100,1973,0,1
100,1974,0,1
100,1975,0,1
100,1976,0,1
100,1977,0,1
100,1978,0,1
100,1979,0,1
100,1980,0,1
100,1981,0,1
100,1982,0,1
100,1983,0,1
100,1984,0,1
100,1985,0,1
100,1986,0,1
100,1987,0,1
100,1988,0,1
100,1989,0,1
100,1990,0,1
100,1991,0,1
100,1992,0,1
100,1993,0,1
100,1994,0,1
100,1995,0,1
100,1996,0,1
100,1997,0,1
100,1998,0,1
100,1999,0,1
100,2000,0,1
100,2001,0,1
100,2002,0,1
100,2003,0,1
100,2004,0,1
100,2005,0,1
100,2006,0,1
100,2007,0,1
100,2008,0,1
100,2009,0,1
100,2010,0,1
101,1956,0,1
101,1957,0,1
101,1958,0,1
101,1959,0,1
101,1960,0,1
101,1961,0,1
101,1962,0,1
101,1963,0,1
101,1964,0,1
101,1965,0,1
101,1966,0,1
101,1967,0,1
101,1968,0,1
101,1969,0,1
101,1970,0,1
101,1971,0,1
101,1972,0,1
101,1973,0,1
101,1974,0,1
101,1975,0,1
101,1976,0,1
101,1977,0,1
101,1978,0,1
101,1979,0,1
101,1980,0,1
101,1981,0,1
101,1982,0,1
101,1983,0,1
101,1984,0,1
101,1985,0,1
101,1986,0,1
101,1987,0,1
101,1988,0,1
101,1989,0,1
101,1990,0,1
101,1991,0,1
101,1992,0,1
101,1993,0,1
101,1994,0,1
101,1995,0,1
101,1996,0,1
101,1997,0,1
101,1998,0,1
101,1999,0,1
101,2000,0,1
101,2001,0,1
101,2002,0,1
101,2003,0,1
101,2004,0,1
101,2005,0,1
101,2006,0,1
101,2007,0,1
101,2008,0,1
101,2009,0,1
101,2010,0,1
110,1966,0,1
110,1967,0,1
110,1968,0,1
110,1969,0,1
110,1970,0,1
110,1971,0,1
110,1972,0,1
110,1973,0,1
110,1974,0,1
110,1975,0,1
110,1976,0,1
110,1977,0,1
110,1978,0,1
110,1979,0,1
110,1980,0,1
110,1981,0,1
110,1982,0,1
110,1983,0,1
110,1984,0,1
110,1985,0,1
110,1986,0,1
110,1987,0,1
110,1988,0,1
110,1989,0,1
110,1990,0,1
110,1991,0,1
110,1992,0,1
110,1993,0,1
110,1994,0,1
110,1995,0,1
110,1996,0,1
110,1997,0,1
110,1998,0,1
110,1999,0,1
